iter	Logloss
0	0.5773028461
1	0.5217469953
2	0.4403875965
3	0.3930656969
4	0.3331204272
5	0.2916466219
6	0.2833103483
7	0.2532203281
8	0.2214677259
9	0.2005020467
10	0.1764288686
11	0.1547938722
12	0.138934522
13	0.1216455264
14	0.1144123202
15	0.1035562425
16	0.09473029299
17	0.08561157125
18	0.07935869358
19	0.07072455735
20	0.06636606494
21	0.06092188031
22	0.05637693271
23	0.0521689801
24	0.04890096364
25	0.04527558246
26	0.0421765016
27	0.03918047482
28	0.03661156103
29	0.03474095333
30	0.033047315
31	0.03112203082
32	0.02848195426
33	0.02678022272
34	0.02536895233
35	0.02441849391
36	0.02334879503
37	0.02246131717
38	0.0216063412
39	0.02047173913
40	0.01937610586
41	0.018619702
42	0.01772797421
43	0.01701954943
44	0.01638249554
45	0.01573499928
46	0.015046181
47	0.01472542079
48	0.01412887505
49	0.01359590871
50	0.01313026962
51	0.0127466455
52	0.01236897929
53	0.01187861584
54	0.01155277144
55	0.01128024731
56	0.01071058571
57	0.01041082682
58	0.01009148619
59	0.009836440314
60	0.009655980419
61	0.009437086461
62	0.009207150484
63	0.009009681321
64	0.008867642479
65	0.008598103555
66	0.008351912159
67	0.008285706654
68	0.008244150196
69	0.008028616507
70	0.007898062228
71	0.007733263597
72	0.00749187472
73	0.007455415333
74	0.007307640197
75	0.00715494508
76	0.007022368425
77	0.006858316108
78	0.00672403708
79	0.006614868059
80	0.006455725328
81	0.006291302513
82	0.006178978519
83	0.005982737915
84	0.005915276484
85	0.00580825437
86	0.005643220518
87	0.005563543847
88	0.005423413576
89	0.005347135135
90	0.005270498896
91	0.005214142114
92	0.005156997912
93	0.005097127799
94	0.004952430428
95	0.004892600583
96	0.004815638527
97	0.004765856367
98	0.004722265895
99	0.004615022105
100	0.004568784103
101	0.004479505321
102	0.00441471671
103	0.004333248871
104	0.004281075402
105	0.004222100813
106	0.004158165086
107	0.004115998873
108	0.004070009286
109	0.004007634756
110	0.003956072554
111	0.003910083952
112	0.003878938169
113	0.003805750606
114	0.003728689546
115	0.003697363932
116	0.003663163313
